13	10	E	-7164075.840730252	200
emissionprobs	11	3	H3k27acStdAlnRep1	1	0.13273101785033878
emissionprobs	11	4	H3k4me1StdAlnRep1	0	0.468480137132792
emissionprobs	11	4	H3k4me1StdAlnRep1	1	0.531519862867208
emissionprobs	11	5	H3k4me2StdAlnRep1	0	0.18202089043787945
emissionprobs	11	5	H3k4me2StdAlnRep1	1	0.8179791095621206
emissionprobs	11	6	H3k4me3StdAlnRep1	0	0.6305622961861548
emissionprobs	11	6	H3k4me3StdAlnRep1	1	0.3694377038138452
emissionprobs	11	7	H3k9acStdAlnRep1	0	0.7988748694906037
emissionprobs	11	7	H3k9acStdAlnRep1	1	0.20112513050939623
emissionprobs	11	8	H3k9me3StdAlnRep1	0	0.9876010234841843
emissionprobs	11	8	H3k9me3StdAlnRep1	1	0.012398976515815674
emissionprobs	11	9	H4k20me1StdAlnRep1	0	0.8063482670669063
emissionprobs	11	9	H4k20me1StdAlnRep1	1	0.19365173293309373
emissionprobs	12	0	CtcfStdAlnRep1	0	0.9130634203797225
emissionprobs	12	0	CtcfStdAlnRep1	1	0.08693657962027745
emissionprobs	12	1	Ezh239875AlnRep1	0	0.96553530318702
emissionprobs	12	1	Ezh239875AlnRep1	1	0.03446469681298005
emissionprobs	12	2	H2azStdAlnRep1	0	0.3176594531211814
emissionprobs	12	2	H2azStdAlnRep1	1	0.6823405468788185
emissionprobs	12	3	H3k27acStdAlnRep1	0	0.9374918485985061
emissionprobs	12	3	H3k27acStdAlnRep1	1	0.06250815140149397
emissionprobs	12	4	H3k4me1StdAlnRep1	0	0.6129470523391253
emissionprobs	12	4	H3k4me1StdAlnRep1	1	0.3870529476608748
emissionprobs	12	5	H3k4me2StdAlnRep1	0	0.6361670322583597
emissionprobs	12	5	H3k4me2StdAlnRep1	1	0.3638329677416404
emissionprobs	12	6	H3k4me3StdAlnRep1	0	0.9909407820204486
emissionprobs	12	6	H3k4me3StdAlnRep1	1	0.009059217979551518
emissionprobs	12	7	H3k9acStdAlnRep1	0	0.9481037864154395
emissionprobs	12	7	H3k9acStdAlnRep1	1	0.05189621358456057
emissionprobs	12	8	H3k9me3StdAlnRep1	0	0.9783696204158631
emissionprobs	12	8	H3k9me3StdAlnRep1	1	0.021630379584136897
emissionprobs	12	9	H4k20me1StdAlnRep1	0	0.9971941005101297
emissionprobs	12	9	H4k20me1StdAlnRep1	1	0.0028058994898703836
emissionprobs	13	0	CtcfStdAlnRep1	0	0.07900076608088956
emissionprobs	13	0	CtcfStdAlnRep1	1	0.9209992339191104
emissionprobs	13	1	Ezh239875AlnRep1	0	0.9750942172591534
emissionprobs	13	1	Ezh239875AlnRep1	1	0.024905782740846677
emissionprobs	13	2	H2azStdAlnRep1	0	0.9278271460449308
emissionprobs	13	2	H2azStdAlnRep1	1	0.0721728539550692
emissionprobs	13	3	H3k27acStdAlnRep1	0	0.9988184259521176
emissionprobs	13	3	H3k27acStdAlnRep1	1	0.0011815740478824715
emissionprobs	13	4	H3k4me1StdAlnRep1	0	0.9711830002414793
emissionprobs	13	4	H3k4me1StdAlnRep1	1	0.028816999758520735
emissionprobs	13	5	H3k4me2StdAlnRep1	0	0.9878695427808781
emissionprobs	13	5	H3k4me2StdAlnRep1	1	0.012130457219121874
emissionprobs	13	6	H3k4me3StdAlnRep1	0	0.9984280461807391
emissionprobs	13	6	H3k4me3StdAlnRep1	1	0.0015719538192608604
emissionprobs	13	7	H3k9acStdAlnRep1	0	0.9640947486235043
emissionprobs	13	7	H3k9acStdAlnRep1	1	0.03590525137649565
emissionprobs	13	8	H3k9me3StdAlnRep1	0	0.9737647035319631
emissionprobs	13	8	H3k9me3StdAlnRep1	1	0.026235296468036958
emissionprobs	13	9	H4k20me1StdAlnRep1	0	0.9878634040856018
emissionprobs	13	9	H4k20me1StdAlnRep1	1	0.012136595914398193
